Fecha,Total,Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeralausi),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routermanta),Vlan100(routertena),Vlan200(routertena),Vlan100(routerbalzar),Vlan200(routermanta),Vlan200(routerbalzar),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routeresmeraldas),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routeresmeraldas2),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routercoca),Vlan200(routercoca),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan200(routeresmeraldas2),Vlan2003(routergyea),Vlan1004(routergyei)
2020-05-24 04:00 - 06:00,131.98,0.26,0.38,2.15,1.36,-,0.74,0.0,-,0.14,0.2,0.17,0.23,0.12,0.09,0.0,0.0,0.06,0.06,0.0,0.12,0.13,0.01,0.0,0.04,0.0,0.03,0.05,0.74,0.89,0.07,0.09,1.08,0.96,0.09,-,0.18,0.31,0.14,0.24,1.67,1.14,0.0,0.0,0.09,0.07,0.84,1.01,0.05,0.12,0.1,0.11,1.81,0.11,0.03,0.08,1.37,-,0.75,0.53,0.59,0.87,0.81,1.02,0.01,0.0,0.01,0.09,-,0.02,-,0.04,0.0,0.11,0.1,0.26,0.17,0.04,0.06,0.08,0.28,0.0,0.03,0.0,0.01,0.0,0.01,0.05,0.0,-,0.0,0.08,0.0,0.68,0.14,0.1,0.09,0.04,0.04,0.0,1.84,2.01,-,0.79,0.6,0.34,2.68,2.68,0.35,0.41,2.77,2.06,1.94,1.77,1.93,2.5,1.56,1.66,1.94,2.46,1.39,1.38,1.67,1.21,0.11,0.24,0.42,0.25,0.02,0.01,0.0,2.06,1.27,1.53,1.68,2.57,2.61,2.33,1.94,1.63,1.53,0.94,1.29,2.29,1.75,2.3,1.96,0.51,0.24,2.96,2.79,2.48,2.36,3.47,2.43,2.49,1.54,3.67,3.45,2.02,1.01,1.5,1.39,0.85,0.55,-,-,-,-,-,-,0.74,-,-
2020-05-24 06:00 - 08:00,304.94,0.57,0.93,3.22,2.45,-,1.79,0.01,-,0.29,0.31,0.51,0.53,0.28,0.13,0.0,0.0,0.2,0.04,0.0,0.18,0.23,0.02,0.0,0.1,0.0,0.15,0.12,1.52,1.53,0.14,0.1,1.72,2.19,0.3,-,0.52,0.52,0.24,0.6,3.4,2.44,0.0,0.0,0.15,0.14,2.45,2.0,0.14,0.27,0.32,0.31,3.64,0.34,0.09,0.25,2.9,-,2.12,1.76,1.52,1.91,1.82,2.25,0.03,0.0,0.06,0.15,-,0.11,-,0.05,0.0,0.25,0.25,0.76,0.58,0.12,0.29,0.28,0.72,0.0,0.05,0.0,0.02,0.02,0.03,0.11,0.0,-,0.0,0.23,0.0,1.13,0.38,0.29,0.25,0.14,0.15,0.0,5.9,6.77,-,2.35,1.93,1.01,7.29,7.29,0.78,0.96,8.16,6.57,5.92,4.71,4.86,5.86,3.69,3.59,5.25,5.46,3.8,4.01,2.32,2.09,0.11,0.36,0.52,0.29,0.04,0.03,0.0,2.43,2.47,2.35,2.83,7.7,7.72,6.18,5.34,4.61,3.95,2.06,3.26,3.6,3.74,4.82,4.46,1.39,0.63,6.45,5.44,6.22,3.57,5.3,5.45,5.97,3.08,7.37,6.43,5.66,3.21,3.24,2.35,2.56,1.63,-,-,-,-,-,-,1.43,-,-
2020-05-24 08:00 - 10:00,528.11,0.87,1.61,5.8,4.46,-,3.07,0.02,-,0.54,0.59,0.77,0.74,0.46,0.29,0.0,0.0,0.32,0.06,0.0,0.44,0.47,0.05,0.0,0.16,0.0,0.38,0.26,2.55,2.76,0.2,0.18,3.28,4.2,0.51,-,0.92,0.97,0.44,0.94,6.43,4.5,0.0,0.0,0.17,0.26,3.67,3.35,0.26,0.49,0.54,0.49,6.65,0.59,0.15,0.46,5.91,-,3.51,3.15,2.65,3.12,3.04,3.59,0.08,0.0,0.09,0.23,-,0.22,-,0.09,0.0,0.44,0.47,1.02,0.79,0.17,0.43,0.35,1.03,0.0,0.08,0.01,0.06,0.02,0.07,0.15,0.0,-,0.0,0.35,0.0,2.22,0.54,0.42,0.39,0.19,0.23,0.0,8.26,9.77,-,3.67,2.84,1.4,11.05,11.05,1.06,1.34,12.77,9.89,9.64,7.86,8.02,9.76,5.79,6.11,8.24,8.8,5.6,6.25,4.42,4.18,0.07,0.58,1.05,0.52,0.1,0.03,0.0,4.32,5.02,4.9,5.48,11.95,12.52,10.42,8.13,7.3,7.05,3.49,5.39,6.71,7.54,9.51,8.83,3.24,1.43,12.07,10.31,11.44,7.3,11.04,10.47,11.16,6.43,14.11,11.89,10.12,5.7,6.3,4.32,5.04,3.0,-,-,-,-,-,-,2.61,-,-
2020-05-24 10:00 - 12:00,650.23,1.04,2.04,7.28,5.71,-,3.86,0.02,-,0.74,0.74,0.95,0.94,0.58,0.43,0.0,0.01,0.33,0.08,0.0,0.46,0.58,0.06,0.0,0.19,0.0,0.41,0.34,3.05,3.42,0.23,0.2,4.25,5.14,0.51,-,1.06,1.26,0.59,1.16,7.99,5.43,0.0,0.0,0.22,0.27,4.68,4.24,0.26,0.63,0.68,0.6,7.86,0.75,0.17,0.56,7.31,-,4.31,3.7,3.25,3.63,3.77,4.85,0.08,0.0,0.1,0.33,-,0.22,-,0.09,0.0,0.47,0.49,1.13,1.01,0.22,0.43,0.42,1.13,0.0,0.08,0.01,0.07,0.04,0.07,0.17,0.0,-,0.0,0.36,0.0,2.78,0.66,0.49,0.51,0.2,0.24,-,10.11,11.93,-,4.2,3.29,1.57,13.52,13.52,1.2,1.53,15.25,12.16,11.39,9.48,9.47,11.41,6.85,7.26,10.27,11.06,6.92,7.31,6.08,5.36,0.09,0.82,1.38,0.7,0.11,0.03,0.0,5.24,6.48,6.14,6.67,14.85,14.34,12.73,10.47,9.34,7.98,4.1,6.56,8.15,9.46,11.67,10.45,4.16,1.75,16.2,12.97,14.37,9.68,14.3,13.27,14.67,8.05,17.6,14.81,11.92,6.72,7.83,5.71,5.78,3.54,-,-,-,-,-,-,3.37,-,-
2020-05-24 12:00 - 14:00,716.04,1.19,2.38,7.98,6.39,-,4.4,0.02,-,0.88,0.83,1.02,1.18,0.74,0.48,0.0,0.01,0.36,0.11,0.0,0.55,0.61,0.07,0.0,0.26,0.0,0.44,0.41,3.58,3.94,0.31,0.25,4.94,6.04,0.6,-,1.22,1.39,0.63,1.33,-,6.22,0.0,0.0,0.24,0.37,4.71,4.44,0.32,0.72,0.78,0.71,-,0.67,0.17,0.56,7.99,-,4.71,4.08,3.64,4.08,3.66,5.32,0.13,0.0,0.15,0.35,-,0.21,-,0.11,0.0,0.52,0.51,1.32,1.12,0.3,0.38,0.41,1.29,0.0,0.11,0.01,0.07,0.03,0.09,0.17,0.0,-,0.0,0.37,0.0,3.09,0.68,0.46,0.56,0.26,0.25,-,10.51,12.77,-,4.61,3.78,1.69,13.89,13.89,1.29,1.58,18.1,13.87,13.19,10.89,10.59,13.55,8.14,8.48,11.35,12.29,7.98,8.35,6.81,6.94,0.08,1.03,1.61,0.78,0.13,0.05,0.0,6.48,6.88,7.08,7.58,15.98,16.99,13.77,11.21,9.9,8.61,4.74,6.82,8.71,10.29,13.45,12.57,4.81,2.21,17.89,14.91,15.98,11.56,16.55,15.79,16.74,9.69,20.94,17.45,14.34,7.97,8.94,6.27,6.21,3.87,-,-,-,-,-,-,3.72,-,-
2020-05-24 14:00 - 16:00,796.78,1.45,2.51,-,6.96,-,4.75,0.02,-,0.93,0.9,1.07,1.25,0.81,0.64,0.0,0.01,0.48,0.14,0.0,0.6,0.69,0.09,0.0,0.3,0.0,0.45,0.45,3.94,4.07,0.31,0.28,5.46,6.46,0.74,-,1.33,1.46,0.69,1.66,-,6.75,0.0,0.0,0.35,0.37,5.84,5.45,0.33,0.8,0.79,0.72,-,0.8,0.3,0.56,7.99,-,4.82,4.14,4.18,5.0,4.29,5.95,0.13,0.0,0.15,0.3,-,0.29,-,0.12,0.0,0.79,0.67,1.48,1.29,0.34,0.57,0.4,1.43,0.0,0.1,0.02,0.07,0.05,0.1,0.2,0.0,-,0.0,0.47,0.0,3.32,0.83,0.54,0.65,0.24,0.26,-,12.91,15.57,-,5.27,4.53,1.93,16.82,16.82,1.57,1.89,20.44,15.93,15.36,13.55,12.28,16.5,9.79,9.37,13.75,14.58,9.88,10.45,7.08,7.29,0.13,1.18,1.69,0.83,0.22,0.05,0.0,6.88,7.45,7.83,8.34,18.13,19.52,15.46,12.97,11.66,9.9,6.26,7.56,9.95,11.66,14.71,13.72,5.21,2.41,19.36,16.06,16.74,11.7,17.43,16.61,17.34,9.84,23.38,19.57,15.27,8.68,10.03,7.52,6.77,3.99,-,-,-,-,-,-,4.03,-,-
2020-05-24 16:00 - 18:00,820.51,1.39,2.51,-,7.01,-,4.7,0.02,-,0.99,0.92,1.05,1.26,0.78,0.58,0.0,0.01,0.48,0.13,0.0,0.63,0.72,0.06,0.0,0.33,0.0,0.46,0.43,3.94,3.97,0.32,0.29,5.46,6.53,0.66,-,1.24,1.46,0.71,1.66,-,7.27,0.0,0.0,0.32,0.4,6.03,5.65,0.31,0.8,0.7,0.65,-,0.9,0.27,0.53,-,-,5.01,4.45,4.3,5.0,4.82,6.74,0.12,0.0,0.09,0.37,-,0.27,-,0.13,0.0,0.79,0.67,1.48,1.31,0.34,0.57,0.51,1.56,0.0,0.11,0.01,0.07,0.05,0.12,0.24,0.0,-,0.0,0.54,0.0,3.41,0.94,0.64,0.65,0.28,0.3,-,14.24,17.07,-,5.8,4.94,2.02,17.8,17.8,1.61,2.07,20.94,16.97,15.97,14.24,13.0,17.07,10.71,10.6,15.48,16.78,10.55,11.88,7.35,7.11,0.13,1.08,1.78,0.83,0.22,0.05,0.0,7.15,7.7,8.09,8.52,19.19,21.47,16.84,13.82,12.09,11.04,6.26,8.53,11.0,11.83,14.3,13.52,5.54,2.55,19.45,15.97,16.74,11.71,17.68,16.61,17.51,9.59,24.08,19.9,14.56,8.51,10.08,7.52,6.42,3.95,-,-,-,-,-,-,4.23,-,-
2020-05-24 18:00 - 20:00,825.34,1.42,2.47,-,6.79,-,4.91,0.02,-,1.01,0.98,1.21,1.23,0.82,0.56,0.0,0.01,0.42,0.17,0.0,0.65,0.7,0.08,0.0,0.26,0.0,0.44,0.49,4.0,4.27,0.36,0.32,5.49,6.55,0.69,-,1.25,1.43,0.71,1.67,-,7.5,0.0,0.0,0.34,0.37,6.03,6.45,0.38,0.78,0.79,0.71,-,0.94,0.18,0.63,-,-,5.39,4.62,4.54,4.92,4.6,6.18,0.12,0.0,0.1,0.37,-,0.26,-,0.12,0.0,0.8,0.67,1.54,1.45,0.32,0.52,0.52,1.65,0.0,0.08,0.02,0.05,0.05,0.12,0.26,0.0,-,0.0,0.58,0.0,3.41,0.94,0.6,0.73,0.24,0.3,-,14.24,17.18,-,5.8,4.8,2.01,18.01,18.01,1.62,2.07,21.2,16.85,15.84,13.9,13.0,16.74,10.88,10.75,15.45,16.13,10.47,11.88,7.31,7.06,0.16,1.02,1.79,0.87,0.12,0.06,0.0,7.14,7.7,8.01,8.55,19.37,21.08,16.84,13.84,12.09,11.04,5.99,8.53,11.0,11.86,14.9,13.33,5.34,2.44,19.02,15.97,17.08,11.73,17.93,16.3,17.76,9.51,24.75,20.47,15.66,9.07,10.39,7.63,6.88,4.27,-,-,-,-,-,-,4.07,-,-
2020-05-24 20:00 - 22:00,851.6,1.5,2.72,-,7.31,-,5.05,0.03,-,1.01,0.98,1.18,1.33,0.89,0.63,0.0,0.01,0.43,0.13,0.0,0.73,0.75,0.07,0.0,0.29,0.0,0.52,0.51,4.12,4.6,0.35,0.32,5.93,6.92,0.73,-,1.3,1.49,0.77,1.64,-,7.77,0.0,0.0,0.37,0.41,4.85,6.87,0.39,0.9,0.84,0.81,-,0.98,0.19,0.63,-,-,5.4,4.87,4.34,5.04,4.82,6.24,0.12,0.0,0.1,0.29,-,0.32,-,0.14,0.0,0.79,0.74,1.62,1.45,0.37,0.52,0.48,1.58,0.0,0.11,0.02,0.08,0.03,0.09,0.28,0.0,-,0.0,0.51,0.0,3.47,0.92,0.68,0.75,0.27,0.3,-,15.13,18.77,-,5.63,4.87,2.0,18.27,18.27,1.62,2.53,21.03,16.64,15.11,13.73,12.48,16.32,10.19,9.91,15.54,15.93,10.09,10.96,7.78,7.66,0.14,1.07,1.96,0.87,0.12,0.05,0.0,7.77,8.25,8.89,9.29,19.83,21.04,17.13,14.39,12.38,11.16,6.26,8.55,13.16,13.59,15.81,14.23,5.67,2.62,20.78,17.36,17.85,12.38,18.85,17.58,18.98,10.74,24.9,20.84,16.42,9.52,10.6,7.87,7.09,4.51,-,-,-,-,-,-,4.63,-,-
2020-05-24 22:00 - 24:00,840.99,1.49,2.54,-,7.25,-,4.85,0.02,-,0.96,0.94,1.14,1.28,0.81,0.56,0.0,0.01,0.41,0.12,0.0,0.73,0.68,0.05,0.0,0.29,0.0,0.5,0.49,3.93,4.45,0.32,0.28,5.71,6.68,0.67,-,1.29,1.38,0.73,1.61,-,7.48,0.0,0.0,0.37,0.41,4.74,6.74,0.31,0.85,0.77,0.73,7.97,0.98,0.21,0.56,7.64,-,5.4,4.72,4.34,4.93,4.51,5.95,0.13,0.0,0.12,0.26,-,0.24,-,0.1,0.0,0.72,0.72,1.5,1.35,0.37,0.52,0.44,1.45,0.0,0.08,0.01,0.08,0.03,0.08,0.28,0.0,-,0.0,0.43,0.0,3.42,0.92,0.57,0.74,0.24,0.27,-,15.09,18.35,-,5.63,4.83,1.92,17.86,17.86,1.54,1.99,19.5,15.9,14.48,13.04,12.15,15.86,10.19,9.69,15.54,15.78,10.09,10.86,7.49,7.34,0.13,1.02,1.81,0.86,0.12,0.06,0.0,7.77,7.89,8.73,9.29,17.98,20.51,16.35,13.05,11.64,10.34,5.95,8.19,13.16,13.31,15.19,13.9,5.67,2.47,20.26,17.16,17.84,12.38,18.73,17.58,18.3,10.74,24.17,20.74,15.64,9.07,10.39,7.53,6.69,4.3,-,-,-,-,-,-,4.22,-,-
2020-05-25 00:00 - 02:00,618.77,1.09,1.66,7.62,5.66,-,3.21,0.05,-,0.73,0.75,0.78,0.96,0.59,0.33,0.0,0.01,0.21,0.06,0.0,0.41,0.45,0.02,0.0,0.15,0.0,0.26,0.24,3.19,3.33,0.22,0.21,3.88,4.63,0.4,-,0.85,0.95,0.53,1.15,7.89,5.6,0.0,0.0,0.24,0.36,3.22,5.09,0.22,0.46,0.42,0.45,7.23,0.59,0.17,0.31,6.81,-,3.7,3.03,3.06,3.62,3.34,4.31,0.07,0.0,0.1,0.19,-,0.13,-,0.06,0.0,0.42,0.49,0.87,0.75,0.2,0.33,0.29,0.99,0.0,0.05,0.01,0.02,0.03,0.06,0.13,0.0,-,0.0,0.28,0.0,2.72,0.63,0.41,0.46,0.16,0.01,-,10.1,11.77,-,3.91,3.47,1.19,12.0,12.0,1.1,1.2,13.93,11.63,10.44,9.67,8.4,12.16,7.43,7.44,10.8,11.26,7.12,8.03,5.71,5.67,0.1,0.73,1.4,0.63,0.12,0.04,0.0,5.97,5.66,6.38,6.52,12.41,13.14,11.0,9.1,8.35,7.24,4.36,5.74,9.57,10.39,11.08,9.8,4.03,1.92,14.85,12.8,12.98,9.99,14.41,13.28,13.51,8.05,17.11,15.13,10.48,5.8,7.33,5.69,4.61,2.48,-,-,-,-,-,-,3.58,-,-
2020-05-25 02:00 - 04:00,272.85,0.42,0.65,3.7,2.75,-,1.46,0.04,-,0.41,0.39,0.43,0.37,0.23,0.16,0.0,0.0,0.11,0.03,0.0,0.17,0.24,0.01,0.0,0.05,0.0,0.13,0.09,1.36,1.48,0.09,0.09,1.7,2.3,0.18,-,0.33,0.38,0.19,0.57,3.62,2.41,0.0,0.0,0.13,0.17,1.41,2.12,0.07,0.22,0.14,0.16,3.31,0.22,0.11,0.12,3.01,-,1.54,1.18,1.38,1.7,1.21,2.05,0.02,0.0,0.02,0.09,-,0.04,-,0.06,0.0,0.16,0.24,0.42,0.28,0.04,0.14,0.14,0.39,0.0,0.03,0.01,0.01,0.02,0.01,0.06,0.0,-,0.0,0.15,0.0,1.33,0.29,0.16,0.22,0.07,0.08,0.0,4.2,4.6,-,1.81,1.35,0.45,4.92,4.92,0.56,0.56,5.55,4.54,4.18,4.2,3.57,5.25,3.22,3.65,4.96,5.04,3.22,3.29,2.93,2.68,0.04,0.53,0.63,0.28,0.06,0.02,0.0,3.01,2.6,2.98,3.15,5.12,5.98,4.71,3.82,3.35,3.11,2.0,2.68,4.45,4.84,4.97,4.38,1.94,0.95,5.84,5.95,5.38,5.2,6.85,6.21,5.83,3.34,7.94,6.75,4.16,2.61,3.27,2.61,1.58,0.85,-,-,-,-,-,-,1.94,-,-
2020-05-25 04:00 - 06:00,127.86,0.3,0.39,1.87,1.31,-,0.8,0.0,-,0.18,0.19,0.23,0.2,0.17,0.08,0.0,0.0,0.08,0.01,0.0,0.09,0.11,0.01,0.0,0.04,0.0,0.06,0.06,0.74,0.7,0.06,0.05,0.71,0.98,0.08,-,0.18,0.21,0.1,0.25,1.47,0.94,0.0,0.0,0.05,0.06,0.75,1.03,0.04,0.1,0.08,0.11,1.29,0.11,0.08,0.12,1.28,-,0.87,0.7,0.66,0.73,0.55,1.0,0.02,0.0,0.02,0.05,-,0.03,-,0.06,0.0,0.09,0.18,0.24,0.27,0.04,0.06,0.1,0.29,0.0,0.02,0.0,0.01,0.01,0.03,0.05,0.0,-,0.0,0.1,0.0,0.48,0.18,0.11,0.11,0.04,0.04,0.0,2.1,2.33,-,0.79,0.55,0.35,2.74,2.74,0.41,0.56,2.77,2.09,2.41,2.14,1.87,2.38,1.73,1.54,2.32,2.14,1.5,1.59,1.4,0.96,0.02,0.29,0.32,0.14,0.04,0.01,0.0,1.34,1.14,1.45,1.46,2.78,2.87,2.29,1.79,1.9,1.48,0.73,1.4,2.23,2.29,2.35,2.27,0.75,0.38,2.34,2.45,2.13,1.84,2.99,2.31,2.17,1.14,3.25,3.01,2.01,1.36,1.25,1.18,0.92,0.65,-,-,-,-,-,-,0.83,-,-
2020-05-25 06:00 - 08:00,303.9,0.6,0.86,2.93,2.45,-,1.78,0.01,-,0.41,0.28,0.47,0.64,0.29,0.19,0.0,0.0,0.17,0.03,0.0,0.22,0.28,0.03,0.0,0.17,0.0,0.17,0.2,1.34,1.52,0.17,0.09,1.91,2.22,0.31,-,0.45,0.49,0.28,0.65,3.28,2.48,0.0,0.0,0.14,0.22,1.79,2.14,0.11,0.39,0.25,0.31,3.36,0.36,0.07,0.32,2.93,-,2.32,1.98,1.7,2.03,1.42,2.18,0.08,0.0,0.08,0.09,-,0.09,-,0.07,0.0,0.41,0.36,0.62,0.5,0.1,0.13,0.22,0.7,0.0,0.05,0.01,0.02,0.02,0.04,0.13,0.0,-,0.0,0.22,0.0,1.01,0.45,0.29,0.24,0.09,0.15,0.0,5.53,6.78,-,2.1,1.74,0.91,6.87,6.87,0.85,1.06,7.83,6.13,5.47,4.65,4.51,5.79,3.91,3.69,5.68,5.62,3.67,3.87,2.62,2.3,0.05,0.49,0.68,0.3,0.06,0.05,0.0,2.64,2.52,2.57,3.05,7.16,7.54,5.84,4.93,4.18,3.9,2.16,3.06,4.16,4.54,4.95,4.85,1.89,0.86,6.0,5.24,5.86,3.57,5.52,5.17,5.79,3.4,7.75,6.61,5.49,3.14,3.21,2.75,2.6,1.59,-,-,-,-,-,-,1.77,-,-
2020-05-25 08:00 - 10:00,490.29,0.92,1.45,5.61,4.08,-,3.11,0.01,-,0.49,0.63,0.77,0.85,0.45,0.25,0.0,0.0,0.24,0.08,0.0,0.44,0.43,0.05,0.0,0.18,0.0,0.26,0.27,2.45,2.68,0.19,0.19,3.14,3.69,0.46,-,0.78,0.85,0.48,0.88,6.03,4.34,0.0,0.0,0.18,0.31,2.43,3.51,0.21,0.47,0.5,0.46,6.08,0.64,0.12,0.51,5.2,-,3.45,2.76,2.52,2.88,2.59,3.91,0.09,0.0,0.06,0.18,-,0.17,-,0.1,0.0,0.5,0.48,0.94,0.8,0.18,0.27,0.29,0.94,0.0,0.06,0.01,0.04,0.04,0.07,0.18,0.0,-,0.0,0.31,0.0,1.96,0.54,0.41,0.41,0.19,0.25,0.0,8.15,9.46,-,3.4,2.76,1.29,10.24,10.24,1.05,1.32,11.41,9.07,7.94,7.32,6.92,8.92,5.79,5.69,7.98,8.29,5.45,5.5,4.38,4.14,0.12,0.83,1.21,0.46,0.16,0.1,0.0,4.41,4.73,4.82,5.37,10.78,11.56,9.25,7.74,6.96,6.31,3.24,4.88,6.29,7.1,8.72,7.76,2.82,1.23,11.28,9.47,10.37,6.66,9.78,9.37,10.82,5.87,13.05,10.77,9.28,5.25,5.69,4.29,4.36,2.75,-,-,-,-,-,-,2.73,-,-
2020-05-25 10:00 - 12:00,584.85,1.0,1.72,6.68,5.06,-,3.65,0.02,-,0.66,0.72,0.86,0.92,0.51,0.31,0.0,0.01,0.27,0.09,0.0,0.48,0.48,0.05,0.0,0.19,0.0,0.31,0.32,2.66,3.01,0.2,0.2,3.92,4.52,0.53,-,0.92,1.02,1.37,0.88,7.27,4.82,0.0,0.0,0.23,0.33,2.95,4.32,0.3,0.63,0.55,0.47,7.2,0.65,0.14,0.56,6.07,-,4.23,3.38,2.81,3.2,3.03,4.21,0.08,0.0,0.06,0.2,-,0.18,-,0.1,0.0,0.55,0.48,1.04,0.96,0.18,0.36,0.33,1.09,0.0,0.06,0.02,0.05,0.06,0.09,0.22,0.0,-,0.0,0.31,0.0,2.43,0.62,0.47,0.49,0.2,0.29,0.0,8.93,11.15,-,3.74,3.0,1.42,11.64,11.64,1.08,1.46,13.62,10.85,9.67,8.31,8.1,10.48,6.25,6.4,9.91,9.98,6.08,6.38,5.28,5.04,0.12,0.96,1.25,0.51,0.13,0.07,0.0,5.1,5.55,5.41,6.11,12.78,13.65,10.75,9.4,8.12,7.2,3.89,5.55,6.87,7.63,10.48,9.5,3.42,1.55,14.22,11.38,13.06,8.14,12.45,11.72,13.21,7.45,17.78,13.66,11.92,6.81,7.32,5.2,5.48,3.54,-,-,-,-,-,-,3.28,-,-
2020-05-25 12:00 - 14:00,653.09,1.21,2.01,7.64,5.96,-,3.98,0.04,-,0.67,0.71,0.97,1.05,0.59,0.4,0.01,0.01,0.28,0.11,0.0,0.54,0.58,0.06,0.0,0.22,0.0,0.39,0.37,3.03,3.46,0.27,0.23,4.43,5.38,0.59,-,0.99,1.18,1.64,0.0,7.82,5.74,0.0,0.0,0.25,0.33,3.65,4.58,0.3,0.66,0.73,0.65,8.0,0.74,0.23,0.57,7.18,-,4.32,3.83,3.06,3.59,3.85,4.73,0.1,0.0,0.09,0.26,-,0.22,-,0.09,0.0,0.63,0.53,1.31,1.1,0.26,0.37,0.47,1.25,0.0,0.07,0.01,0.08,0.06,0.07,0.23,0.0,-,0.0,0.35,0.0,2.77,0.79,0.64,0.55,0.23,0.34,0.0,9.38,11.74,-,4.32,3.5,1.73,12.88,12.88,1.31,1.76,15.46,12.23,10.68,9.39,9.02,11.12,7.66,7.53,10.63,10.75,6.84,7.39,6.08,5.64,0.11,0.95,1.33,0.7,0.2,0.08,0.0,5.07,5.96,5.9,6.56,14.3,15.31,12.39,10.69,8.95,7.83,4.11,6.75,7.33,8.34,11.75,11.07,3.98,1.94,16.22,13.25,14.31,9.44,14.55,13.87,14.77,8.38,18.16,15.24,12.89,7.15,7.92,5.67,5.77,3.58,-,-,-,-,-,-,3.71,-,-
